Line,X,Y,Ch1,Ch2,Ch3,Ch4
Livs0125a_01,287585.95,2476410.38,-0.04,0.02,0.2,-0.12
Livs0125a_01,287585.95,2476410.38,0.14,0.11,0.19,-0.03
Livs0125a_01,287585.95,2476410.38,0.33,0.03,0.11,-0.04
Livs0125a_01,287585.95,2476410.38,0.23,-0.08,0.01,0.08
Livs0125a_01,287585.95,2476410.38,0.22,0.02,0.01,-0.11
Livs0125a_01,287585.95,2476410.38,0.41,0.21,0.2,-0.02
Livs0125a_01,287585.95,2476410.38,0.59,0.3,0.1,-0.02
Livs0125a_01,287585.95,2476410.38,0.51,0.1,0.2,-0.11
Livs0125a_01,287585.95,2476410.38,0.23,-0.07,0.2,-0.13
Livs0125a_01,287585.95,2476410.38,-0.06,-0.07,0.1,-0.12
Livs0125a_01,287585.94,2476410.39,0.04,-0.26,0.1,-0.13
Livs0125a_01,287585.92,2476410.39,0.13,-0.08,0.1,-0.11
Livs0125a_01,287585.9,2476410.4,0.03,0.11,0.47,0.35
Livs0125a_01,287585.87,2476410.41,-0.42,-0.27,0.09,0.26
Livs0125a_01,287585.84,2476410.42,-1.46,-0.73,-0.28,0.05
Livs0125a_01,287585.82,2476410.42,-1.74,-0.82,-0.47,-0.21
Livs0125a_01,287585.79,2476410.43,-1.94,-0.81,-0.55,-0.03
Livs0125a_01,287585.76,2476410.44,-2.39,-0.9,-0.46,-0.03
Livs0125a_01,287585.74,2476410.45,-2.49,-1.37,-0.55,-0.03
Livs0125a_01,287585.7,2476410.46,-2.97,-1.85,-0.55,-0.22
Livs0125a_01,287585.65,2476410.47,-3.23,-1.93,-0.64,-0.31
Livs0125a_01,287585.58,2476410.49,-3.61,-2.14,-0.73,-0.39
Livs0125a_01,287585.51,2476410.51,-3.7,-1.95,-0.63,-0.23
Livs0125a_01,287585.44,2476410.53,-3.62,-1.76,-0.64,-0.22
Livs0125a_01,287585.38,2476410.55,-3.71,-1.77,-0.84,-0.32
Livs0125a_01,287585.31,2476410.57,-3.9,-1.66,-0.83,-0.41
Livs0125a_01,287585.24,2476410.59,-3.8,-1.39,-0.74,-0.32
Livs0125a_01,287585.18,2476410.61,-3.72,-1.75,-0.63,-0.51
Livs0125a_01,287585.11,2476410.63,-3.89,-2.05,-0.65,-0.51
Livs0125a_01,287585.04,2476410.66,-4.26,-2.21,-0.54,-0.39
Livs0125a_01,287584.96,2476410.68,-4.17,-1.84,-0.36,-0.03
Livs0125a_01,287584.89,2476410.71,-3.8,-1.37,0.01,0.25
Livs0125a_01,287584.81,2476410.73,-3.62,-1.3,0.2,0.43
Livs0125a_01,287584.74,2476410.75,-3.52,-1.56,0.21,0.33
Livs0125a_01,287584.67,2476410.78,-3.7,-2.03,0.02,0.26
Livs0125a_01,287584.59,2476410.8,-3.62,-1.86,0.11,0.25
Livs0125a_01,287584.52,2476410.83,-3.89,-1.58,0.1,0.34
Livs0125a_01,287584.46,2476410.85,-3.7,-1.39,0.1,0.33
Livs0125a_01,287584.48,2476410.86,-3.53,-1.57,0.21,0.43
Livs0125a_01,287584.58,2476410.86,-3.79,-1.86,-0.08,0.44
Livs0125a_01,287584.68,2476410.86,-4.07,-2.14,-0.46,-0.02
Livs0125a_01,287584.77,2476410.86,-4.28,-2.13,-0.63,-0.22
Livs0125a_01,287584.87,2476410.86,-4.17,-1.94,-0.36,-0.13
Livs0125a_01,287584.97,2476410.86,-4.27,-2.03,-0.35,-0.23
Livs0125a_01,287585.07,2476410.87,-4.64,-2.42,-0.73,-0.59
Livs0125a_01,287585.17,2476410.87,-4.46,-2.31,-1.03,-0.88
Livs0125a_01,287585.27,2476410.87,-3.82,-1.84,-0.84,-0.68
Livs0125a_01,287585.36,2476410.87,-3.16,-1.28,-0.47,-0.02
Livs0125a_01,287585.45,2476410.87,-3.26,-1.39,-0.46,0.06
Livs0125a_01,287585.54,2476410.87,-3.45,-1.29,-0.37,0.35
Livs0125a_01,287585.63,2476410.87,-3.64,-1.4,-0.27,0.06
Livs0125a_01,287585.73,2476410.87,-3.93,-1.67,-0.65,-0.23
Livs0125a_01,287585.82,2476410.87,-4.68,-2.32,-0.84,-0.4
Livs0125a_01,287585.91,2476410.87,-5.05,-2.71,-0.82,-0.12
Livs0125a_01,287586,2476410.87,-6.27,-3.63,-1.11,-0.23
Livs0125a_01,287586.09,2476410.88,-6.93,-4.11,-1.5,-0.4
Livs0125a_01,287586.18,2476410.88,-7.13,-4.2,-1.67,-0.5
Livs0125a_01,287586.26,2476410.88,-5.08,-2.42,-0.92,-0.22
Livs0125a_01,287586.34,2476410.88,-0.7,1.04,0.94,0.91
Livs0125a_01,287586.42,2476410.88,10.23,9.35,3.93,2.39
Livs0125a_01,287586.51,2476410.88,21.52,17.94,10.01,5.1
Livs0125a_01,287586.59,2476410.88,36.1,28.88,15.98,7.91
Livs0125a_01,287586.67,2476410.88,60.3,46.93,26.17,12.75
Livs0125a_01,287586.75,2476410.88,81.42,62.45,35.15,17.26
Livs0125a_01,287586.84,2476410.88,118.17,88.99,45.73,22.38
Livs0125a_01,287586.92,2476410.88,141.82,105.45,59.92,29.03
Livs0125a_01,287587.01,2476410.88,154.36,112.76,64.8,30.9
Livs0125a_01,287587.1,2476410.88,145.87,103.89,61.53,28.76
Livs0125a_01,287587.2,2476410.88,125.38,87.25,53.6,24.46
Livs0125a_01,287587.29,2476410.88,86.78,57.98,43.01,19.31
Livs0125a_01,287587.38,2476410.88,60.39,38.82,27.69,12.11
Livs0125a_01,287587.47,2476410.88,38.22,23.38,18.63,7.89
Livs0125a_01,287587.56,2476410.88,15.97,8.88,11.78,4.81
Livs0125a_01,287587.66,2476410.88,6.24,2.99,5.33,1.74
Livs0125a_01,287587.75,2476410.88,-1.08,-0.86,2.61,0.79
Livs0125a_01,287587.84,2476410.88,-3.51,-1.5,0.93,0.5
Livs0125a_01,287587.94,2476410.88,-4.63,-2.07,0.27,0.34
Livs0125a_01,287588.04,2476410.89,-5.3,-2.25,-0.1,0.14
Livs0125a_01,287588.14,2476410.89,-5.57,-2.34,-0.65,-0.32
Livs0125a_01,287588.23,2476410.89,-5.39,-2.34,-0.66,-0.33
Livs0125a_01,287588.33,2476410.89,-5.38,-2.26,-0.55,-0.24
Livs0125a_01,287588.43,2476410.89,-5.96,-2.72,-0.75,-0.42
Livs0125a_01,287588.52,2476410.9,-6.33,-3.27,-1.11,-0.7
Livs0125a_01,287588.62,2476410.9,-6.14,-2.92,-0.84,-0.41
Livs0125a_01,287588.73,2476410.9,-6.6,-3.36,-1.22,-0.69
Livs0125a_01,287588.84,2476410.89,-6.4,-3.2,-1.12,-0.42
Livs0125a_01,287588.95,2476410.89,-6.49,-3.37,-1.13,-0.24
Livs0125a_01,287589.06,2476410.89,-6.13,-2.81,-0.92,0.05
Livs0125a_01,287589.18,2476410.89,-5.39,-1.97,0.1,0.9
Livs0125a_01,287589.29,2476410.89,-4.8,-1.6,0.11,0.89
Livs0125a_01,287589.4,2476410.89,-2.95,-0.27,0.56,0.7
Livs0125a_01,287589.51,2476410.88,0.7,2.34,2.07,1.36
Livs0125a_01,287589.62,2476410.88,8.48,8.33,4.3,2.39
Livs0125a_01,287589.73,2476410.88,15.12,13.29,7.77,3.8
Livs0125a_01,287589.84,2476410.88,25.13,20.47,10.75,5.18
Livs0125a_01,287589.95,2476410.88,30.84,24.41,14.4,7.05
Livs0125a_01,287590.06,2476410.88,34.59,26.85,16.08,8.09
Livs0125a_01,287590.17,2476410.88,33.93,25.53,16.27,8.28
Livs0125a_01,287590.28,2476410.87,28.88,21.23,13.85,6.88
Livs0125a_01,287590.38,2476410.87,18.23,12.63,10.67,5.2
Livs0125a_01,287590.49,2476410.87,10.37,6.82,5.71,2.21
Livs0125a_01,287590.6,2476410.87,3.74,2.26,2.9,0.62
Livs0125a_01,287590.71,2476410.87,-1.68,-0.83,1.23,-0.04
Livs0125a_01,287590.81,2476410.87,-3.64,-1.76,0.28,-0.24
Livs0125a_01,287590.91,2476410.87,-4.76,-2.35,-0.17,-0.13
Livs0125a_01,287591.01,2476410.86,-5.14,-2.33,-0.37,-0.14
Livs0125a_01,287591.11,2476410.86,-5.13,-2.43,-0.46,-0.03
Livs0125a_01,287591.21,2476410.86,-5.23,-2.51,-0.55,-0.04
Livs0125a_01,287591.31,2476410.86,-5.43,-2.52,-0.74,-0.14
Livs0125a_01,287591.41,2476410.86,-5.42,-2.44,-0.74,-0.22
Livs0125a_01,287591.52,2476410.86,-5.33,-2.15,-0.65,-0.15
Livs0125a_01,287591.61,2476410.85,-5.34,-2.23,-0.65,-0.04
Livs0125a_01,287591.7,2476410.85,-5.15,-2.07,-0.45,0.14
Livs0125a_01,287591.8,2476410.85,-5.16,-2.16,-0.29,0.25
Livs0125a_01,287591.89,2476410.85,-5.43,-2.33,-0.36,0.06
Livs0125a_01,287591.98,2476410.85,-5.81,-2.61,-0.56,0.05
Livs0125a_01,287592.07,2476410.84,-6.08,-3,-0.84,-0.14
Livs0125a_01,287592.16,2476410.84,-6.46,-3.37,-1.03,-0.23
Livs0125a_01,287592.26,2476410.84,-6.28,-3.45,-1.12,-0.31
Livs0125a_01,287592.35,2476410.84,-5.16,-2.43,-0.56,0.13
Livs0125a_01,287592.44,2476410.84,-1.62,0.47,1.12,1.17
Livs0125a_01,287592.53,2476410.83,2.86,4.29,3.1,2.02
Livs0125a_01,287592.63,2476410.83,14.57,13.46,5.98,3.41
Livs0125a_01,287592.73,2476410.83,28.02,23.86,13.47,6.88
Livs0125a_01,287592.82,2476410.83,45.89,37.23,21.04,10.9
